9/1/2016,7624094,709457
9/1/2016,7632217,709528
9/1/2016,7640018,707679
9/1/2016,7640806,699080
9/1/2016,7643288,686573
9/1/2016,7643580,705398
9/1/2016,7645954,685086
9/1/2016,7649772,686973
9/1/2016,7669243,669586
9/1/2016,7669702,664629
9/1/2016,7670268,683719
9/1/2016,7674315,696774
9/1/2016,7678210,676513
9/1/2016,7684468,676064
9/1/2016,7687183,693902
9/2/2016,7632029,709793
9/2/2016,7632590,710068
9/2/2016,7644308,683033
9/2/2016,7644511,683462
9/2/2016,7646642,686073
9/2/2016,7652136,681253
9/2/2016,7660124,685130
9/2/2016,7667054,674360
9/2/2016,7669930,662907
9/2/2016,7671510,686302
9/2/2016,7677315,684521
9/2/2016,7680993,679091
9/2/2016,7690024,681395
9/3/2016,7640926,706540
9/3/2016,7641630,683659
9/3/2016,7642077,718961
9/3/2016,7642572,679493
9/3/2016,7643482,704601
9/3/2016,7645311,684438
9/3/2016,7646856,692243
9/3/2016,7648756,694132
9/3/2016,7649098,677777
9/3/2016,7649375,680137
9/3/2016,7651109,677407
9/3/2016,7654449,685538
9/3/2016,7660664,679849
9/3/2016,7668221,692436
9/3/2016,7670039,667820
9/3/2016,7674659,681774
9/3/2016,7676501,671807
9/3/2016,7680454,688333
9/3/2016,7681315,681153
9/3/2016,7688247,676260
9/3/2016,7693193,681249
9/4/2016,7629413,708261
9/4/2016,7646230,705203
9/4/2016,7646542,697738
9/4/2016,7649772,686973
9/4/2016,7657000,682975
9/4/2016,7666728,672403
9/5/2016,7639804,704279
9/5/2016,7640202,681812
9/5/2016,7642768,686772
9/5/2016,7643417,685609
9/5/2016,7648654,676350
9/5/2016,7653370,675038
9/5/2016,7658143,690489
9/5/2016,7660511,696264
9/5/2016,7668759,676022
9/5/2016,7679597,682608
9/5/2016,7688198,682476
9/6/2016,7624446,723309
9/6/2016,7635517,707766
9/6/2016,7642250,687041
9/6/2016,7642280,703624
9/6/2016,7645313,684647
9/6/2016,7647089,711184
9/6/2016,7655743,704627
9/6/2016,7657674,680680
9/6/2016,7657674,680680
9/6/2016,7663707,695430
9/6/2016,7669153,683641
9/6/2016,7669202,695458
9/6/2016,7669531,672817
9/6/2016,7669696,678619
9/6/2016,7678002,687457
9/6/2016,7679621,667738
9/6/2016,7690044,683013
9/6/2016,7690255,676379
9/6/2016,7692735,676482
9/7/2016,7633166,710137
9/7/2016,7641818,681419
9/7/2016,7642097,681726
9/7/2016,7643292,679074
9/7/2016,7644141,682090
9/7/2016,7645181,683408
9/7/2016,7649566,683020
9/7/2016,7650349,688126
9/7/2016,7651937,685583
9/7/2016,7652157,698320
9/7/2016,7652651,683578
9/7/2016,7666320,662826
9/7/2016,7666441,669699
9/7/2016,7678654,682016
9/7/2016,7679377,669728
9/7/2016,7681505,682573
9/7/2016,7682884,676250
9/7/2016,7689773,682773
9/8/2016,7631163,671669
9/8/2016,7643153,696391
9/8/2016,7646001,690583
9/8/2016,7647496,687243
9/8/2016,7650289,686955
9/8/2016,7651388,694526
9/8/2016,7652186,676988
9/8/2016,7659716,682340
9/8/2016,7674387,696478
9/8/2016,7678762,673081
9/8/2016,7679356,673601
9/8/2016,7683208,674190
9/9/2016,7626156,708360
9/9/2016,7638738,686654
9/9/2016,7640110,701824
9/9/2016,7640177,703756
9/9/2016,7644616,685088
9/9/2016,7645137,685347
9/9/2016,7645396,684306
9/9/2016,7649080,690195
9/9/2016,7649170,703566
9/9/2016,7651434,681975
9/9/2016,7662627,663031
9/9/2016,7668372,684032
9/9/2016,7678691,686518
9/9/2016,7679890,673556
9/9/2016,7685286,694162
9/9/2016,7687212,678508
9/10/2016,7624294,710461
9/10/2016,7632199,704141
9/10/2016,7643030,687702
9/10/2016,7643355,692791
9/10/2016,7644487,685933
9/10/2016,7644489,686808
9/10/2016,7644869,684100
9/10/2016,7646502,696364
9/10/2016,7646930,693160
